DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 182.396 -131 -117 -49 b_quark 0 4.18 180.162 106 57 134
b_quark 0 4.18 126.785 100 69 -36 b_quark 0 4.18 239.826 -147 -149 117
W+ 1 80.4 141.464 -50 -98 38 W- 1 80.4 137.012 84 64 34
b_quark 0 4.18 210.861 8 91 -190 b_quark 0 4.18 114.745 28 -22 109
W+ 1 80.4 105.405 -14 43 -51 W- 1 80.4 155.872 106 50 64
b_quark 0 4.18 187.325 148 -20 113 b_quark 0 4.18 169.442 -102 -8 -135
b_quark 0 4.18 99.2092 55 -20 -80 b_quark 0 4.18 124.722 -51 99 56
b_quark 0 4.18 183.599 -159 29 -87 b_quark 0 4.18 133.051 94 68 65
b_quark 0 4.18 115.18 0 57 100 b_quark 0 4.18 141.885 -87 1 -112
b_quark 0 4.18 98.5062 -19 93 26 b_quark 0 4.18 68.8584 48 -22 -44
b_quark 0 4.18 146.627 32 -123 73 b_quark 0 4.18 187.85 -118 45 -139
W+ 1 80.4 209.672 -57 93 -160 W- 1 80.4 141.471 34 -37 105
b_quark 0 4.18 125.026 -25 -115 42 b_quark 0 4.18 135.305 19 48 -125
b_quark 0 4.18 172.553 142 -88 43 b_quark 0 4.18 172.463 -139 -1 -102
W+ 1 80.4 125.874 76 52 30 W- 1 80.4 154.059 -123 -46 -5
W+ 1 80.4 134.574 -97 46 -11 W- 1 80.4 131.61 76 40 -59
W+ 1 80.4 112.691 15 -67 -39 W- 1 80.4 165.874 56 -15 133
W+ 1 80.4 246.004 37 -83 214 W- 1 80.4 193.249 -116 55 -120
W+ 1 80.4 101.834 -13 4 -61 W- 1 80.4 120.757 -45 3 78
W+ 1 80.4 201.341 124 -77 -113 W- 1 80.4 117.772 -53 41 54
W+ 1 80.4 149.837 -59 25 109 W- 1 80.4 194.456 55 -120 -118
Z 1 91.2 149.193 -80 50 -71 Z 1 91.2 174.234 90 -118 -4
b_quark 0 4.18 227.865 -222 -11 -50 b_quark 0 4.18 154.19 133 68 38
Z 1 91.2 132.569 -66 -70 1 Z 1 91.2 177.796 113 70 75
W+ 1 80.4 200.779 74 -114 124 W- 1 80.4 216.026 -139 131 -61
b_quark 0 4.18 83.1293 -22 75 -28 b_quark 0 4.18 64.6952 54 24 -26
W+ 1 80.4 169.305 100 58 94 W- 1 80.4 170.074 -56 -85 -110
W+ 1 80.4 133.642 46 96 -8 W- 1 80.4 182.108 -123 -37 101
b_quark 0 4.18 256.011 150 -160 132 b_quark 0 4.18 193.901 -126 98 -110
b_quark 0 4.18 110.822 -8 -10 -110 b_quark 0 4.18 50.4329 34 1 37
W+ 1 80.4 171.963 65 -81 -111 W- 1 80.4 121.516 -81 29 30
b_quark 0 4.18 198.833 -184 -6 -75 b_quark 0 4.18 98.9114 87 39 26
b_quark 0 4.18 118.825 -105 46 -31 b_quark 0 4.18 61.5506 53 1 31
b_quark 0 4.18 116.874 -5 -81 -84 b_quark 0 4.18 75.0831 0 12 74
b_quark 0 4.18 143.005 38 58 125 b_quark 0 4.18 173.754 -4 -131 -114
b_quark 0 4.18 200.745 -22 169 106 b_quark 0 4.18 137.799 -19 -123 -59
b_quark 0 4.18 261.313 -239 11 105 b_quark 0 4.18 184.985 144 79 -85
W+ 1 80.4 162.988 81 102 -56 W- 1 80.4 118.369 -33 -77 -23
b_quark 0 4.18 25.8161 -10 15 -18 b_quark 0 4.18 130.612 -73 48 97
b_quark 0 4.18 161.705 -129 83 -51 b_quark 0 4.18 123.541 32 -114 -35
W+ 1 80.4 155.93 89 -52 -85 W- 1 80.4 157.887 -36 128 28
tau+ 0 1.78 218.552 168 -43 -133 tau- 0 1.78 196.497 -144 104 84
b_quark 0 4.18 227.586 -8 -225 33 b_quark 0 4.18 160.831 -82 138 9
W+ 1 80.4 129.531 49 -88 13 W- 1 80.4 165.182 -119 66 -48
Z 1 91.2 206.863 -93 125 -101 Z 1 91.2 148.632 -7 -27 114
tau+ 0 1.78 224.965 -71 -203 -66 tau- 0 1.78 128.344 -28 113 54
b_quark 0 4.18 196.508 190 47 17 b_quark 0 4.18 96.6151 -96 -1 -10
b_quark 0 4.18 264.859 -209 116 114 b_quark 0 4.18 192.838 138 -35 -130
b_quark 0 4.18 106.459 -38 64 -76 b_quark 0 4.18 147.144 57 31 132
b_quark 0 4.18 180.42 -73 -31 162 b_quark 0 4.18 171.25 67 54 -148
b_quark 0 4.18 265.239 -87 106 -227 b_quark 0 4.18 193.513 138 -35 131
b_quark 0 4.18 222.988 159 136 77 b_quark 0 4.18 190.112 -80 -139 -102
b_quark 0 4.18 196.434 12 195 -20 b_quark 0 4.18 146.814 75 -126 6
W+ 1 80.4 127.958 22 97 -4 W- 1 80.4 109.001 13 -72 8
W+ 1 80.4 167.726 56 6 136 W- 1 80.4 162.127 -46 -83 -104
W+ 1 80.4 192.897 -108 -75 116 W- 1 80.4 186.615 15 130 -106
b_quark 0 4.18 108.648 -47 -97 13 b_quark 0 4.18 110.265 -52 91 -34
W+ 1 80.4 235.102 -18 193 106 W- 1 80.4 135.835 35 -99 -31
W+ 1 80.4 247.486 -30 206 107 W- 1 80.4 175.035 -4 -126 -91
b_quark 0 4.18 126.121 3 -2 126 b_quark 0 4.18 98.084 29 89 -29
b_quark 0 4.18 174.615 -81 -154 -14 b_quark 0 4.18 79.7588 14 78 8
b_quark 0 4.18 251.013 197 41 150 b_quark 0 4.18 160.02 -102 32 -119
b_quark 0 4.18 134.742 -128 35 23 b_quark 0 4.18 108.773 58 -23 -89
b_quark 0 4.18 222.682 -175 -129 -48 b_quark 0 4.18 118.947 107 51 -9
b_quark 0 4.18 163.534 -45 -26 -155 b_quark 0 4.18 111.474 30 -22 105
tau+ 0 1.78 244.99 179 -150 74 tau- 0 1.78 164.427 -124 104 -29
b_quark 0 4.18 221.855 92 -97 177 b_quark 0 4.18 163.968 -76 56 -134
b_quark 0 4.18 202.157 -197 -40 -21 b_quark 0 4.18 161.776 121 83 -68
W+ 1 80.4 103.253 -20 -41 -46 W- 1 80.4 138.803 9 111 20
W+ 1 80.4 309.537 17 214 208 W- 1 80.4 198.668 -82 -120 -109
b_quark 0 4.18 72.5498 -13 71 6 b_quark 0 4.18 146.166 -87 -83 -83
b_quark 0 4.18 191.738 -135 -5 -136 b_quark 0 4.18 111.653 54 -82 53
b_quark 0 4.18 89.3894 -65 -48 38 b_quark 0 4.18 185.665 142 99 -67
W+ 1 80.4 197.548 77 54 -154 W- 1 80.4 154.755 -90 -13 96
b_quark 0 4.18 159.391 -158 -10 -18 b_quark 0 4.18 124.738 110 -29 -51
